Time,Day_of_week,Age_band_of_driver,Driving_experience,Type_of_vehicle,Road_surface_conditions,Light_conditions,Weather_conditions,Cause_of_accident,Accident_severity
20:17:00,Thursday,31-50,5-10yr,Public (12 seats),Dry,Darkness - lights lit,Normal,No distancing,Slight Injury
20:17:00,Thursday,Unknown,Below 1yr,Lorry (41?100Q),Dry,Darkness - lights lit,Normal,No distancing,Slight Injury
12:27:00,Monday,31-50,5-10yr,Automobile,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
12:27:00,Monday,18-30,2-5yr,Pick up upto 10Q,Dry,Daylight,Normal,No priority to vehicle,Slight Injury
10:12:00,Monday,Unknown,5-10yr,Pick up upto 10Q,Dry,Daylight,Normal,Driving at high speed,Slight Injury
10:12:00,Monday,31-50,5-10yr,Lorry (41?100Q),Dry,Daylight,Normal,Overtaking,Slight Injury
8:30:00,Monday,18-30,Above 10yr,Automobile,Dry,Daylight,Normal,Other,Slight Injury
8:30:00,Monday,18-30,1-2yr,Stationwagen,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
7:47:00,Monday,31-50,Below 1yr,Motorcycle,Dry,Daylight,Normal,No priority to pedestrian,Slight Injury
7:47:00,Monday,31-50,Above 10yr,,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
7:15:00,Tuesday,31-50,1-2yr,Other,Dry,Daylight,Normal,No distancing,Slight Injury
7:15:00,Tuesday,18-30,2-5yr,Automobile,Dry,Daylight,Normal,Moving Backward,Slight Injury
14:10:00,Tuesday,31-50,5-10yr,Automobile,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
11:00:00,Tuesday,18-30,2-5yr,,Dry,Daylight,Normal,Other,Slight Injury
11:00:00,Tuesday,31-50,Above 10yr,Public (> 45 seats),Dry,Daylight,Normal,No distancing,Slight Injury
16:58:00,Wednesday,31-50,1-2yr,Automobile,Dry,Daylight,Normal,Moving Backward,Slight Injury
21:50:00,Thursday,31-50,1-2yr,Other,Dry,Darkness - lights lit,Normal,No distancing,Slight Injury
13:17:00,Thursday,31-50,1-2yr,Automobile,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
13:17:00,Thursday,18-30,5-10yr,Other,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
19:38:00,Thursday,18-30,,Lorry (41?100Q),Dry,Darkness - lights lit,Normal,No priority to pedestrian,Slight Injury
17:11:00,Thursday,31-50,5-10yr,Pick up upto 10Q,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
17:11:00,Thursday,18-30,5-10yr,Public (13?45 seats),Dry,Daylight,Normal,Driving carelessly,Slight Injury
7:45:00,Wednesday,18-30,5-10yr,Automobile,Dry,Daylight,Normal,Driving carelessly,Slight Injury
7:45:00,Wednesday,Unknown,5-10yr,Pick up upto 10Q,Dry,Daylight,Normal,No priority to pedestrian,Slight Injury
7:50:00,Tuesday,18-30,5-10yr,Automobile,Wet or damp,Daylight,Raining,Getting off the vehicle improperly,Slight Injury
7:50:00,Thursday,18-30,1-2yr,Lorry (41?100Q),Dry,Daylight,Normal,No distancing,Slight Injury
7:50:00,Thursday,Unknown,2-5yr,Automobile,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
17:20:00,Wednesday,Unknown,5-10yr,Lorry (41?100Q),Dry,Daylight,Normal,No priority to vehicle,Slight Injury
10:25:00,Saturday,31-50,Above 10yr,Lorry (41?100Q),Dry,Daylight,Normal,No distancing,Slight Injury
10:25:00,Saturday,18-30,5-10yr,Lorry (41?100Q),Dry,Daylight,Normal,No priority to pedestrian,Slight Injury
6:45:00,Monday,31-50,2-5yr,Public (13?45 seats),Dry,Daylight,Normal,No priority to pedestrian,Slight Injury
6:45:00,Monday,18-30,5-10yr,Automobile,Dry,Daylight,Normal,No priority to vehicle,Slight Injury
8:32:00,Friday,31-50,2-5yr,Other,Dry,Daylight,Normal,Driving carelessly,Serious Injury
12:48:00,Friday,Under 18,5-10yr,Other,Dry,Daylight,Other,Changing lane to the right,Serious Injury
13:03:00,Friday,18-30,1-2yr,Other,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
13:03:00,Friday,31-50,5-10yr,Automobile,Dry,Daylight,Normal,Moving Backward,Slight Injury
19:45:00,Friday,31-50,,Other,Dry,Darkness - lights lit,Normal,Driving carelessly,Slight Injury
19:45:00,Friday,31-50,Above 10yr,Lorry (41?100Q),Dry,Darkness - lights lit,Normal,Driving to the left,Slight Injury
8:49:00,Saturday,Unknown,Below 1yr,Public (12 seats),Dry,Daylight,Normal,Driving to the left,Slight Injury
8:49:00,Saturday,31-50,2-5yr,Lorry (41?100Q),Dry,Daylight,Normal,No priority to pedestrian,Slight Injury
12:22:00,Saturday,31-50,1-2yr,Public (12 seats),Dry,Daylight,Normal,Changing lane to the left,Slight Injury
19:45:00,Saturday,Over 51,5-10yr,Lorry (41?100Q),Dry,Darkness - lights lit,Normal,Changing lane to the right,Slight Injury
19:45:00,Saturday,Unknown,2-5yr,Other,Dry,Darkness - lights lit,Normal,Driving carelessly,Slight Injury
19:45:00,Saturday,31-50,2-5yr,Lorry (41?100Q),Dry,Darkness - lights lit,Normal,No distancing,Slight Injury
3:09:00,Sunday,18-30,2-5yr,,Dry,Darkness - lights lit,Normal,Getting off the vehicle improperly,Slight Injury
3:09:00,Sunday,Unknown,Above 10yr,Public (> 45 seats),Dry,Darkness - lights lit,Normal,Driving under the influence of drugs,Slight Injury
1:15:00,Sunday,18-30,2-5yr,Lorry (41?100Q),Dry,Darkness - lights lit,Normal,Changing lane to the right,Slight Injury
1:15:00,Sunday,18-30,1-2yr,Other,Dry,Darkness - lights lit,Normal,Driving carelessly,Slight Injury
1:15:00,Sunday,31-50,2-5yr,Other,Dry,Darkness - lights lit,Normal,Moving Backward,Slight Injury
17:20:00,Monday,31-50,5-10yr,Automobile,Dry,Daylight,Normal,Turnover,Slight Injury
12:40:00,Thursday,18-30,1-2yr,Lorry (41?100Q),Dry,Daylight,Normal,Changing lane to the right,Slight Injury
12:40:00,Thursday,Unknown,1-2yr,Pick up upto 10Q,Dry,Daylight,Normal,Driving carelessly,Slight Injury
14:23:00,Monday,18-30,2-5yr,Automobile,Dry,Daylight,Normal,No priority to vehicle,Slight Injury
14:23:00,Monday,Under 18,Above 10yr,,Dry,Daylight,Normal,Moving Backward,Slight Injury
0:30:00,Tuesday,31-50,Below 1yr,Other,Dry,Darkness - lights lit,Normal,Changing lane to the left,Slight Injury
0:30:00,Tuesday,31-50,Above 10yr,Automobile,Dry,Darkness - lights lit,Normal,Overturning,Slight Injury
9:16:00,Monday,31-50,5-10yr,Stationwagen,Dry,Daylight,Normal,No distancing,Slight Injury
22:50:00,Tuesday,18-30,Above 10yr,Other,Dry,Darkness - lights lit,Normal,Driving carelessly,Slight Injury
22:50:00,Tuesday,Unknown,1-2yr,,Dry,Darkness - lights lit,Normal,No distancing,Slight Injury
7:12:00,Tuesday,31-50,,Ridden horse,Dry,Daylight,Normal,Changing lane to the left,Serious Injury
7:12:00,Tuesday,31-50,5-10yr,,Dry,Daylight,Normal,No priority to pedestrian,Serious Injury
9:53:00,Tuesday,18-30,2-5yr,Other,Dry,Daylight,Normal,No distancing,Slight Injury
9:53:00,Tuesday,Under 18,,Lorry (41?100Q),Dry,Daylight,Normal,No distancing,Slight Injury
9:53:00,Tuesday,Unknown,,Lorry (41?100Q),Dry,Daylight,Normal,Changing lane to the left,Slight Injury
9:12:00,Wednesday,Over 51,1-2yr,Lorry (41?100Q),Dry,Daylight,Normal,No distancing,Slight Injury
15:28:00,Wednesday,31-50,1-2yr,Stationwagen,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
17:30:00,Wednesday,Over 51,1-2yr,Lorry (41?100Q),Dry,Daylight,Normal,No distancing,Slight Injury
18:15:00,Wednesday,18-30,Above 10yr,Automobile,Dry,Darkness - lights lit,Normal,No distancing,Slight Injury
18:15:00,Wednesday,18-30,1-2yr,Automobile,Dry,Darkness - lights lit,Normal,No distancing,Slight Injury
18:40:00,Wednesday,18-30,Above 10yr,Pick up upto 10Q,Dry,Darkness - lights lit,Normal,Changing lane to the left,Slight Injury
18:40:00,Wednesday,18-30,Above 10yr,Taxi,Dry,Darkness - lights lit,Normal,Changing lane to the right,Slight Injury
12:40:00,Friday,31-50,1-2yr,,Dry,Daylight,Normal,Moving Backward,Slight Injury
8:00:00,Friday,Over 51,1-2yr,Automobile,Dry,Daylight,Normal,Changing lane to the right,Slight Injury
8:00:00,Friday,18-30,2-5yr,,Dry,Daylight,Normal,No distancing,Slight Injury
13:41:00,Thursday,31-50,2-5yr,Long lorry,Dry,Daylight,Normal,Overtaking,Slight Injury
15:45:00,Thursday,18-30,1-2yr,Public (12 seats),Dry,Daylight,Normal,Other,Slight Injury
15:45:00,Thursday,31-50,5-10yr,Pick up upto 10Q,Dry,Daylight,Normal,Other,Slight Injury
10:55:00,Thursday,31-50,5-10yr,,Dry,Daylight,Normal,Changing lane to the right,Slight Injury
10:35:00,Friday,31-50,1-2yr,Other,Dry,Daylight,Normal,No priority to pedestrian,Slight Injury
10:35:00,Friday,31-50,5-10yr,Lorry (41?100Q),Dry,Daylight,Normal,No priority to vehicle,Slight Injury
10:18:00,Friday,18-30,2-5yr,Automobile,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
11:30:00,Friday,31-50,5-10yr,Pick up upto 10Q,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
11:30:00,Friday,31-50,Above 10yr,Lorry (41?100Q),Dry,Daylight,Normal,Overtaking,Slight Injury
11:30:00,Friday,Unknown,Above 10yr,Lorry (41?100Q),Dry,Daylight,Normal,No distancing,Slight Injury
15:45:00,Friday,18-30,2-5yr,Long lorry,Dry,Daylight,Normal,No priority to vehicle,Slight Injury
14:10:00,Friday,Unknown,5-10yr,Public (> 45 seats),Dry,Daylight,Normal,Changing lane to the right,Slight Injury
17:15:00,Friday,Unknown,1-2yr,Public (> 45 seats),Dry,Daylight,Normal,Changing lane to the left,Slight Injury
6:55:00,Saturday,31-50,Above 10yr,Automobile,Dry,Daylight,Normal,No distancing,Slight Injury
6:55:00,Saturday,31-50,5-10yr,Automobile,Dry,Daylight,Normal,Driving carelessly,Slight Injury
8:42:00,Saturday,Over 51,2-5yr,Automobile,Dry,Daylight,Normal,No priority to pedestrian,Slight Injury
8:42:00,Saturday,31-50,Above 10yr,Other,Dry,Daylight,Normal,Driving carelessly,Slight Injury
14:52:00,Saturday,Over 51,2-5yr,Public (12 seats),Dry,Daylight,Normal,Moving Backward,Slight Injury
14:52:00,Saturday,18-30,Above 10yr,Automobile,Dry,Daylight,Normal,No distancing,Slight Injury
1:50:00,Sunday,18-30,Above 10yr,Stationwagen,Dry,Darkness - lights lit,Normal,No distancing,Slight Injury
1:50:00,Sunday,Unknown,2-5yr,Automobile,Dry,Darkness - lights lit,Normal,No distancing,Slight Injury
23:45:00,Saturday,18-30,Above 10yr,Automobile,Dry,Darkness - lights lit,Normal,Changing lane to the left,Slight Injury
23:45:00,Saturday,18-30,Above 10yr,Automobile,Dry,Darkness - lights lit,Normal,Changing lane to the left,Slight Injury
12:15:00,Sunday,Over 51,Below 1yr,,Dry,Daylight,Normal,Moving Backward,Slight Injury
12:15:00,Sunday,Unknown,Above 10yr,,Dry,Daylight,Normal,Changing lane to the right,Slight Injury
19:15:00,Sunday,Unknown,Above 10yr,Pick up upto 10Q,Dry,Darkness - lights lit,Normal,No priority to vehicle,Slight Injury
21:33:00,Friday,Unknown,5-10yr,Turbo,Dry,Darkness - lights lit,Normal,Moving Backward,Slight Injury
21:33:00,Friday,18-30,,Pick up upto 10Q,Dry,Darkness - lights lit,Normal,Driving carelessly,Slight Injury
17:25:00,Monday,31-50,5-10yr,Other,Dry,Daylight,Normal,Driving carelessly,Slight Injury
22:40:00,Monday,31-50,5-10yr,Stationwagen,Wet or damp,Darkness - lights lit,Other,Driving under the influence of drugs,Slight Injury
17:15:00,Saturday,18-30,Below 1yr,Pick up upto 10Q,Dry,Daylight,Normal,No priority to pedestrian,Slight Injury
17:15:00,Saturday,Unknown,5-10yr,Lorry (41?100Q),Dry,Daylight,Normal,No priority to vehicle,Slight Injury
12:04:00,Tuesday,31-50,2-5yr,Lorry (41?100Q),Dry,Daylight,Normal,Driving carelessly,Slight Injury
17:13:00,Tuesday,18-30,2-5yr,Automobile,Wet or damp,Daylight,Raining,Moving Backward,Slight Injury
17:13:00,Tuesday,18-30,2-5yr,Automobile,Wet or damp,Daylight,Raining,Driving carelessly,Slight Injury
18:44:00,Sunday,31-50,2-5yr,Pick up upto 10Q,Dry,Darkness - lights lit,Normal,No priority to vehicle,Slight Injury
18:44:00,Sunday,Unknown,Above 10yr,Pick up upto 10Q,Dry,Darkness - lights lit,Normal,Changing lane to the right,Slight Injury
18:10:00,Wednesday,31-50,2-5yr,Lorry (41?100Q),Dry,Daylight,Normal,Changing lane to the left,Slight Injury
18:10:00,Wednesday,Unknown,1-2yr,Public (12 seats),Dry,Daylight,Normal,No priority to vehicle,Slight Injury
15:27:00,Tuesday,Unknown,2-5yr,Other,Dry,Daylight,Normal,Driving carelessly,Slight Injury
21:38:00,Wednesday,18-30,1-2yr,Stationwagen,Dry,Darkness - lights lit,Normal,Moving Backward,Slight Injury
21:38:00,Wednesday,Unknown,5-10yr,Automobile,Dry,Darkness - lights lit,Normal,No distancing,Slight Injury
12:20:00,Wednesday,31-50,5-10yr,Automobile,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
11:00:00,Thursday,18-30,2-5yr,Lorry (41?100Q),Wet or damp,Daylight,Raining,Changing lane to the left,Slight Injury
7:58:00,Thursday,31-50,Below 1yr,Stationwagen,Wet or damp,Daylight,Raining,No distancing,Slight Injury
7:58:00,Thursday,31-50,,Lorry (41?100Q),Wet or damp,Daylight,Raining,Changing lane to the left,Slight Injury
0:31:00,Friday,Over 51,Above 10yr,Public (> 45 seats),Dry,Darkness - lights lit,Normal,Driving carelessly,Slight Injury
0:31:00,Friday,18-30,1-2yr,Automobile,Dry,Darkness - lights lit,Normal,Changing lane to the left,Slight Injury
15:43:00,Thursday,31-50,5-10yr,Automobile,Dry,Daylight,Normal,No distancing,Slight Injury
20:40:00,Friday,Unknown,1-2yr,Automobile,Dry,Darkness - lights lit,Normal,Changing lane to the right,Slight Injury
20:39:00,Friday,Over 51,Above 10yr,,Dry,Darkness - lights lit,Normal,No distancing,Slight Injury
9:16:00,Friday,31-50,Below 1yr,Lorry (41?100Q),Dry,Daylight,Normal,Driving to the left,Slight Injury
9:16:00,Friday,31-50,2-5yr,Lorry (41?100Q),Dry,Daylight,Normal,No distancing,Slight Injury
12:45:00,Saturday,Over 51,5-10yr,Automobile,Dry,Daylight,Normal,Overtaking,Slight Injury
14:50:00,Saturday,Over 51,5-10yr,Stationwagen,Dry,Daylight,Normal,Driving under the influence of drugs,Slight Injury
14:50:00,Saturday,Over 51,1-2yr,Public (12 seats),Dry,Daylight,Normal,No priority to pedestrian,Slight Injury
14:50:00,Saturday,Over 51,5-10yr,Public (12 seats),Dry,Daylight,Normal,Moving Backward,Slight Injury
14:50:00,Saturday,31-50,,Automobile,Dry,Daylight,Normal,Changing lane to the right,Slight Injury
15:26:00,Saturday,18-30,2-5yr,Public (12 seats),Dry,Daylight,Normal,Changing lane to the left,Slight Injury
15:26:00,Saturday,Over 51,1-2yr,Public (12 seats),Dry,Daylight,Normal,Changing lane to the right,Slight Injury
16:15:00,Sunday,18-30,5-10yr,Lorry (41?100Q),Wet or damp,Daylight,Normal,Driving under the influence of drugs,Slight Injury
16:15:00,Sunday,18-30,2-5yr,Automobile,Wet or damp,Daylight,Normal,No priority to vehicle,Slight Injury
2:40:00,Sunday,18-30,No Licence,Lorry (41?100Q),Wet or damp,Darkness - lights lit,Normal,No priority to vehicle,Slight Injury
2:40:00,Sunday,Unknown,Above 10yr,,Wet or damp,Darkness - lights lit,Normal,Changing lane to the left,Slight Injury
18:01:00,Monday,18-30,Above 10yr,Automobile,Dry,Daylight,Normal,Changing lane to the right,Slight Injury
18:01:00,Monday,Unknown,5-10yr,Stationwagen,Dry,Daylight,Normal,Changing lane to the right,Slight Injury
2:02:00,Tuesday,31-50,2-5yr,,Wet or damp,Darkness - lights lit,Cloudy,Changing lane to the left,Slight Injury
16:22:00,Monday,31-50,2-5yr,,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
13:10:00,Wednesday,Unknown,Below 1yr,Automobile,Dry,Daylight,Normal,Getting off the vehicle improperly,Slight Injury
9:17:00,Tuesday,31-50,Above 10yr,Stationwagen,Dry,Daylight,Normal,Overtaking,Slight Injury
12:39:00,Tuesday,18-30,Above 10yr,Automobile,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
10:35:00,Tuesday,31-50,2-5yr,Other,Dry,Daylight,Normal,Driving under the influence of drugs,Serious Injury
14:23:00,Tuesday,Unknown,2-5yr,Other,Dry,Daylight,Normal,Driving carelessly,Slight Injury
4:48:00,Wednesday,31-50,Above 10yr,Automobile,Dry,Darkness - lights lit,Normal,Moving Backward,Slight Injury
4:48:00,Wednesday,31-50,5-10yr,Lorry (41?100Q),Dry,Darkness - lights lit,Normal,No distancing,Slight Injury
15:17:00,Wednesday,Unknown,Below 1yr,Lorry (41?100Q),Dry,Daylight,Normal,No priority to vehicle,Slight Injury
15:30:00,Wednesday,31-50,Below 1yr,Lorry (41?100Q),Dry,Daylight,Normal,Overturning,Slight Injury
15:30:00,Wednesday,31-50,Below 1yr,Automobile,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
15:30:00,Wednesday,Unknown,5-10yr,Automobile,Dry,Daylight,Normal,No distancing,Slight Injury
18:55:00,Thursday,31-50,5-10yr,Public (13?45 seats),Dry,Daylight,Normal,Moving Backward,Serious Injury
2:44:00,Saturday,Unknown,5-10yr,Public (13?45 seats),Dry,Darkness - lights lit,Normal,No priority to vehicle,Slight Injury
1:00:00,Saturday,Unknown,5-10yr,Lorry (41?100Q),Dry,Darkness - lights lit,Normal,No priority to vehicle,Slight Injury
23:35:00,Thursday,31-50,2-5yr,Lorry (41?100Q),Wet or damp,Darkness - lights lit,Normal,No distancing,Slight Injury
23:35:00,Thursday,Unknown,5-10yr,Public (12 seats),Wet or damp,Darkness - lights lit,Normal,No distancing,Slight Injury
3:40:00,Saturday,31-50,2-5yr,Other,Dry,Darkness - lights lit,Normal,Overtaking,Slight Injury
11:30:00,Saturday,31-50,Below 1yr,Lorry (41?100Q),Dry,Daylight,Normal,Driving under the influence of drugs,Slight Injury
11:30:00,Saturday,Over 51,2-5yr,Automobile,Dry,Daylight,Normal,Changing lane to the right,Slight Injury
23:15:00,Saturday,18-30,2-5yr,Other,Dry,Darkness - lights lit,Normal,Changing lane to the left,Slight Injury
23:15:00,Saturday,18-30,2-5yr,Motorcycle,Dry,Darkness - lights lit,Normal,Driving carelessly,Slight Injury
2:31:00,Sunday,Unknown,5-10yr,Automobile,Dry,Darkness - lights lit,Normal,Moving Backward,Slight Injury
14:30:00,Tuesday,Over 51,5-10yr,Automobile,Dry,Daylight,Normal,Moving Backward,Slight Injury
14:30:00,Tuesday,Unknown,,Lorry (41?100Q),Dry,Daylight,Normal,Changing lane to the right,Slight Injury
14:30:00,Thursday,Unknown,5-10yr,Automobile,Dry,Daylight,Normal,No priority to vehicle,Slight Injury
11:30:00,Thursday,31-50,2-5yr,Public (> 45 seats),Dry,Daylight,Normal,Driving at high speed,Slight Injury
11:25:00,Friday,31-50,Below 1yr,Lorry (41?100Q),Dry,Daylight,Normal,Driving under the influence of drugs,Slight Injury
11:25:00,Friday,Unknown,1-2yr,Public (> 45 seats),Dry,Daylight,Normal,Changing lane to the right,Slight Injury
22:00:00,Saturday,31-50,Below 1yr,Lorry (41?100Q),Dry,Darkness - lights lit,Normal,Driving carelessly,Slight Injury
22:00:00,Saturday,Unknown,Above 10yr,Lorry (41?100Q),Dry,Darkness - lights lit,Normal,No distancing,Slight Injury
15:30:00,Wednesday,Under 18,Below 1yr,Lorry (41?100Q),Dry,Daylight,Normal,Changing lane to the left,Slight Injury
15:30:00,Wednesday,Under 18,2-5yr,Public (12 seats),Dry,Daylight,Normal,No distancing,Slight Injury
9:57:00,Tuesday,31-50,1-2yr,Public (12 seats),Dry,Daylight,Normal,No distancing,Slight Injury
9:57:00,Tuesday,Unknown,5-10yr,Stationwagen,Dry,Daylight,Normal,Getting off the vehicle improperly,Slight Injury
18:12:00,Tuesday,31-50,Below 1yr,Lorry (41?100Q),Dry,Daylight,Normal,Overtaking,Slight Injury
17:06:00,Tuesday,31-50,Below 1yr,Automobile,Dry,Daylight,Normal,Driving carelessly,Slight Injury
17:06:00,Tuesday,18-30,Below 1yr,Pick up upto 10Q,Dry,Daylight,Normal,Driving under the influence of drugs,Slight Injury
8:25:00,Tuesday,18-30,1-2yr,Automobile,Dry,Daylight,Normal,Moving Backward,Slight Injury
23:05:00,Wednesday,Unknown,5-10yr,Public (13?45 seats),Dry,Darkness - lights lit,Normal,Overturning,Slight Injury
6:40:00,Thursday,31-50,2-5yr,Public (> 45 seats),Dry,Daylight,Normal,Driving under the influence of drugs,Slight Injury
6:40:00,Thursday,Unknown,Below 1yr,Stationwagen,Dry,Daylight,Normal,Changing lane to the right,Slight Injury
11:50:00,Monday,18-30,5-10yr,,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
11:50:00,Monday,Unknown,5-10yr,Lorry (41?100Q),Dry,Daylight,Normal,No distancing,Slight Injury
9:40:00,Tuesday,Unknown,5-10yr,Stationwagen,Dry,Daylight,Normal,No distancing,Slight Injury
9:05:00,Thursday,31-50,2-5yr,Lorry (41?100Q),Dry,Daylight,Normal,No priority to vehicle,Serious Injury
9:05:00,Thursday,18-30,Above 10yr,Public (12 seats),Dry,Daylight,Normal,Moving Backward,Serious Injury
9:40:00,Friday,31-50,5-10yr,Lorry (41?100Q),Dry,Daylight,Normal,Moving Backward,Slight Injury
9:40:00,Friday,18-30,Above 10yr,Other,Dry,Daylight,Normal,Getting off the vehicle improperly,Slight Injury
22:35:00,Thursday,Under 18,2-5yr,Stationwagen,Dry,Darkness - lights lit,Normal,Changing lane to the left,Slight Injury
20:18:00,Thursday,18-30,Below 1yr,Automobile,Dry,Darkness - lights lit,Normal,Changing lane to the left,Slight Injury
20:18:00,Thursday,31-50,Below 1yr,Public (> 45 seats),Dry,Darkness - lights lit,Normal,No priority to vehicle,Slight Injury
20:00:00,Friday,31-50,5-10yr,Other,Dry,Darkness - lights lit,Normal,Changing lane to the right,Slight Injury
20:00:00,Friday,31-50,2-5yr,Lorry (41?100Q),Dry,Darkness - lights lit,Normal,Changing lane to the right,Slight Injury
13:15:00,Sunday,18-30,Below 1yr,Automobile,Dry,Daylight,Normal,Driving carelessly,Slight Injury
13:15:00,Sunday,Unknown,2-5yr,Public (> 45 seats),Dry,Daylight,Normal,Changing lane to the left,Slight Injury
22:39:00,Saturday,31-50,5-10yr,,Dry,Darkness - lights lit,Normal,Changing lane to the right,Slight Injury
22:39:00,Saturday,31-50,Above 10yr,Automobile,Dry,Darkness - lights lit,Normal,Driving under the influence of drugs,Slight Injury
22:39:00,Saturday,Over 51,Above 10yr,Pick up upto 10Q,Dry,Darkness - lights lit,Normal,Driving carelessly,Slight Injury
17:18:00,Sunday,31-50,5-10yr,Public (12 seats),Dry,Daylight,Normal,No distancing,Slight Injury
17:18:00,Sunday,31-50,1-2yr,Lorry (41?100Q),Dry,Daylight,Normal,No priority to vehicle,Slight Injury
8:55:00,Friday,18-30,5-10yr,Lorry (41?100Q),Dry,Daylight,Normal,No priority to vehicle,Slight Injury
8:55:00,Friday,Unknown,5-10yr,Lorry (41?100Q),Dry,Daylight,Normal,No priority to vehicle,Slight Injury
10:00:00,Friday,18-30,1-2yr,Public (13?45 seats),Dry,Daylight,Normal,Changing lane to the left,Slight Injury
10:00:00,Friday,Unknown,5-10yr,Lorry (41?100Q),Dry,Daylight,Normal,Moving Backward,Slight Injury
8:55:00,Saturday,18-30,Above 10yr,Lorry (41?100Q),Dry,Daylight,Normal,Driving carelessly,Slight Injury
8:55:00,Saturday,Unknown,Below 1yr,Motorcycle,Dry,Daylight,Normal,Driving under the influence of drugs,Slight Injury
17:15:00,Thursday,Unknown,5-10yr,Lorry (41?100Q),Dry,Daylight,Normal,Changing lane to the right,Slight Injury
1:37:00,Tuesday,Unknown,Above 10yr,Ridden horse,Dry,Darkness - lights lit,Normal,No priority to vehicle,Slight Injury
15:45:00,Monday,Over 51,Below 1yr,Automobile,Dry,Daylight,Normal,Changing lane to the right,Slight Injury
15:45:00,Monday,18-30,1-2yr,Lorry (41?100Q),Dry,Daylight,Normal,Driving to the left,Slight Injury
15:45:00,Monday,31-50,Above 10yr,Pick up upto 10Q,Dry,Daylight,Normal,Moving Backward,Slight Injury
11:05:00,Monday,31-50,Above 10yr,Public (> 45 seats),Dry,Daylight,Normal,No priority to vehicle,Slight Injury
9:10:00,Monday,Over 51,Above 10yr,Stationwagen,Dry,Daylight,Normal,No distancing,Slight Injury
9:10:00,Monday,31-50,No Licence,Automobile,Dry,Daylight,Normal,Driving carelessly,Slight Injury
9:30:00,Tuesday,Unknown,1-2yr,Public (12 seats),Dry,Daylight,Normal,Changing lane to the left,Serious Injury
20:08:00,Tuesday,Unknown,1-2yr,Automobile,Dry,Darkness - lights lit,Normal,No priority to vehicle,Slight Injury
20:08:00,Tuesday,Unknown,Below 1yr,Automobile,Dry,Darkness - lights lit,Normal,No priority to vehicle,Slight Injury
18:54:00,Tuesday,31-50,1-2yr,Automobile,Dry,Daylight,Normal,No distancing,Slight Injury
14:28:00,Tuesday,Over 51,2-5yr,Lorry (41?100Q),Dry,Daylight,Normal,Driving to the left,Slight Injury
13:35:00,Tuesday,31-50,5-10yr,Automobile,Dry,Daylight,Normal,Driving carelessly,Slight Injury
13:35:00,Tuesday,Unknown,Above 10yr,Automobile,Dry,Daylight,Normal,Driving carelessly,Slight Injury
16:00:00,Tuesday,Unknown,2-5yr,Public (12 seats),Dry,Daylight,Normal,Changing lane to the right,Slight Injury
16:00:00,Tuesday,31-50,Above 10yr,Taxi,Dry,Daylight,Normal,Driving carelessly,Slight Injury
14:01:00,Tuesday,Unknown,5-10yr,Automobile,Dry,Daylight,Normal,Changing lane to the left,Slight Injury
19:17:00,Tuesday,Over 51,,Public (12 seats),Dry,Darkness - lights lit,Normal,Driving carelessly,Serious Injury
13:22:00,Wednesday,31-50,5-10yr,Stationwagen,Dry,Daylight,Normal,Driving carelessly,Slight Injury
8:05:00,Wednesday,31-50,Below 1yr,Stationwagen,Dry,Daylight,Normal,Driving under the influence of drugs,Serious Injury
8:05:00,Wednesday,31-50,2-5yr,Automobile,Dry,Daylight,Normal,Driving carelessly,Serious Injury
13:15:00,Wednesday,18-30,2-5yr,Lorry (41?100Q),Dry,Daylight,Normal,No distancing,Slight Injury
13:15:00,Wednesday,18-30,2-5yr,Automobile,Dry,Daylight,Normal,Driving carelessly,Slight Injury
22:40:00,Wednesday,31-50,2-5yr,Public (12 seats),Dry,Darkness - lights lit,Normal,Driving to the left,Slight Injury
22:38:00,Wednesday,31-50,5-10yr,Automobile,Dry,Darkness - lights lit,Normal,Overtaking,Slight Injury
22:38:00,Wednesday,31-50,5-10yr,Automobile,Dry,Darkness - lights lit,Normal,No distancing,Slight Injury
22:38:00,Wednesday,Unknown,Above 10yr,Lorry (41?100Q),Dry,Darkness - lights lit,Normal,Driving carelessly,Slight Injury
17:15:00,Monday,31-50,5-10yr,Automobile,Dry,Darkness - lights lit,Normal,No priority to vehicle,Slight Injury
10:30:00,Saturday,31-50,5-10yr,Motorcycle,Wet or damp,Daylight,Raining,No priority to vehicle,Slight Injury
19:15:00,Sunday,18-30,Above 10yr,,Dry,Daylight,Normal,No priority to vehicle,Serious Injury
